149	0.00002933	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
150	0.00001872	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
151	0.00002053	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
152	0.00001704	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
153	0.00003045	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
154	0.00001858	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 43 	
155	0.00002968	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
156	0.00002032	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 4D 	
157	0.00002919	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
158	0.00001788	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 53 	
159	0.00002884	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
160	0.00001851	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
161	0.00002877	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
162	0.00001872	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 32 	
163	0.00002109	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
164	0.00001963	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
165	0.00002989	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
166	0.00001781	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
167	0.00002710	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
168	0.00001760	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
169	0.00002975	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
170	0.00001879	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
171	0.00002850	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
172	0.00001753	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
173	0.00002891	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
174	0.00001795	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
175	0.00002011	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
176	0.00001760	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
177	0.00002619	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
178	0.00001949	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 50 	
179	0.00002940	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
180	0.00001837	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 48 	
181	0.00002982	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
182	0.00001774	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 4F 	
183	0.00002843	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
184	0.00001788	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 45 	
185	0.00002780	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
186	0.00001781	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 4E 	
187	0.00002898	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
188	0.00001914	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 49 	
189	0.00003045	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
190	0.00001795	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 58 	
191	0.00002989	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
192	0.00001774	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 54 	
193	0.00002863	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
194	0.00001788	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 45 	
195	0.00003038	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
196	0.00002109	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 43 	
197	0.00003066	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
198	0.00001823	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
199	0.00002857	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
200	0.00001830	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
201	0.00002898	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
202	0.00001718	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
203	0.00002863	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
204	0.00001823	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
205	0.00002982	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
206	0.00001774	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
207	0.00002919	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
208	0.00001753	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
209	0.00003122	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
210	0.00001844	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
